20110129|10|346
20110129|12|348
20110129|26|223
20110129|8|218
20110129|17|345
20110129|1|342
20110129|13|232
20110129|3|218
20110301|5|218
20110301|9|350
20110331|7|342
20110331|4|218
20110331|1|218
20110331|3|218
20110331|10|218
20110331|1|218
20110501|2|218
20110501|3|348
20110501|8|349
20110501|10|218
20110501|1|218
20110501|18|232
20110501|4|223
20110501|10|350
20110501|28|315
20110501|12|218
20110531|10|223
20110531|20|220
20110531|9|218
20110531|6|218
20110531|4|218
20110531|18|346
20110531|18|232
20110701|8|342
20110801|11|218
20110801|6|223
20110801|6|218
20110829|2|218
20110929|4|218
20110929|5|218
20110929|24|342
20111029|1|322
20111029|1|218
20111029|22|223
20111029|3|232
20111029|3|232
20111029|10|223
20111029|11|215
20111029|13|348
20111129|6|218
20111129|15|315
20111129|6|342
20111229|31|469
20111229|32|470
20111229|23|389
20111229|26|323
20111229|29|333
20111229|33|325
20111229|43|329
20111229|16|447
20111229|30|453
20111229|40|224
20111229|44|448
20111229|1|469
20111229|10|470
20111229|22|360
20111229|37|469
20111229|38|470
20111229|9|464
20111229|11|447
20111229|2|323
20111229|8|460
20111229|9|224
20111229|18|453
20111229|20|433
20111229|24|343
20111229|31|329
20111229|37|373
20111229|41|233
20111229|43|333
20111229|60|389
20111229|15|456
20111229|6|469
20111229|9|470
20111229|2|470
20111229|19|460
20111229|30|470
20111229|38|458
20111229|43|236
20111229|30|469
20111229|31|470
20111229|29|469
20111229|3|470
20111229|16|470
20111229|25|364
20111229|26|469
20111229|35|365
20111229|11|458
20111229|13|325
20111229|19|381
20111229|30|368
20111229|32|263
20111229|41|329
20111229|14|420
20111229|17|470
20111229|19|470
20111229|20|352
20111229|40|428
20111229|3|453
20111229|16|470
20111229|50|448
20111229|10|470
20111229|15|448
20111229|37|456
20111229|6|224
20111229|9|421
20111229|17|420
20111229|26|233
20111229|30|395
20111229|56|458
20111229|16|333
20111229|25|343
20111229|32|323
20111229|37|233
20111229|39|343
20111229|41|458
20111229|16|224
20111229|7|343
20111229|18|458
20111229|22|329
20111229|45|453
20111229|47|224
20111229|42|233
20111229|46|333
20111229|7|323
20111229|16|230
20111229|35|329
20111229|42|456
20111229|43|233
20111229|1|236
20111229|2|230
20111229|9|224
20111229|23|381
20111229|31|458
20111229|34|456
20111229|15|470
20111229|25|469
20111229|14|456
20120129|6|470
